Timestamp,Heart Rate (BPM),SpO2 (%)
2025-07-04 03:31:27,81,99
2025-07-04 03:31:35,56,99
2025-07-04 03:31:43,79,98
2025-07-04 03:31:51,61,97
2025-07-04 03:31:59,79,96
2025-07-04 03:32:07,126,97
2025-07-04 03:32:15,95,98
2025-07-04 03:32:23,64,99
2025-07-04 03:32:31,97,97
2025-07-04 03:32:39,55,96
2025-07-04 03:32:47,64,98
2025-07-04 03:32:55,67,97
2025-07-04 03:33:03,89,96
2025-07-04 03:33:11,46,98
2025-07-04 03:33:19,94,96
2025-07-04 03:33:27,66,98
2025-07-04 03:33:35,60,99
2025-07-04 03:33:43,80,97
2025-07-04 03:33:51,83,96
2025-07-04 03:33:59,73,98
2025-07-04 03:34:07,58,96
2025-07-04 03:34:15,62,96
2025-07-04 03:34:23,73,97
2025-07-04 03:34:31,94,99
2025-07-04 03:34:39,88,96
2025-07-04 03:34:47,47,98
2025-07-04 03:34:55,96,98
2025-07-04 03:35:03,93,99
2025-07-04 03:35:11,62,98
2025-07-04 03:35:19,82,99
2025-07-04 03:35:27,111,98
2025-07-04 03:35:35,65,97
2025-07-04 03:35:43,90,96
2025-07-04 03:35:51,116,97
2025-07-04 03:35:59,123,96
2025-07-04 03:36:07,114,96
2025-07-04 03:36:15,95,96
2025-07-04 03:36:23,60,97
2025-07-04 03:36:31,82,96
2025-07-04 03:36:39,98,97
2025-07-04 03:36:47,92,99
2025-07-04 03:36:55,87,98
2025-07-04 03:37:03,126,98
2025-07-04 03:37:11,43,96
2025-07-04 03:37:19,119,97
2025-07-04 03:37:27,96,98
2025-07-04 03:37:35,65,97
2025-07-04 03:37:43,67,97
2025-07-04 03:37:51,60,96
2025-07-04 03:37:59,77,98
2025-07-04 03:38:07,85,96
2025-07-04 03:38:15,62,96
2025-07-04 03:38:23,123,98
2025-07-04 03:38:31,51,98
2025-07-04 03:38:39,76,99
2025-07-04 03:38:47,60,99
2025-07-04 03:38:55,97,97
2025-07-04 03:39:03,92,98
2025-07-04 03:39:11,86,99
2025-07-04 03:39:19,64,97
2025-07-04 03:39:27,64,97
2025-07-04 03:39:35,85,97
2025-07-04 03:39:43,68,99
2025-07-04 03:39:51,66,98
2025-07-04 03:39:59,96,96
2025-07-04 03:40:07,87,97
2025-07-04 03:40:15,80,99
2025-07-04 03:40:23,95,99
2025-07-04 03:40:31,68,96
2025-07-04 03:40:39,68,96
2025-07-04 03:40:47,83,99
2025-07-04 03:40:55,76,98
2025-07-04 03:41:03,79,96
2025-07-04 03:41:11,43,99
2025-07-04 03:41:19,67,96
2025-07-04 03:41:27,68,98
2025-07-04 03:41:35,95,97
2025-07-04 03:41:43,127,96
2025-07-04 03:41:51,89,98
2025-07-04 03:41:59,82,99
2025-07-04 03:42:07,117,96
2025-07-04 03:42:15,86,96
2025-07-04 03:42:23,61,99
2025-07-04 03:42:31,64,97
2025-07-04 03:42:39,57,99
2025-07-04 03:42:47,67,96
2025-07-04 03:42:55,88,99
2025-07-04 03:43:03,65,98
2025-07-04 03:43:11,70,99
2025-07-04 03:43:19,93,96
2025-07-04 03:43:27,46,99
2025-07-04 03:43:35,65,97
2025-07-04 03:43:43,48,99
2025-07-04 03:43:51,84,97
2025-07-04 03:43:59,69,98
2025-07-04 03:44:07,91,97
2025-07-04 03:44:15,67,99
2025-07-04 03:44:23,94,96
2025-07-04 03:44:31,120,97
2025-07-04 03:44:39,43,98
2025-07-04 03:44:47,121,97
2025-07-04 03:44:55,86,97
2025-07-04 03:45:03,97,97
2025-07-04 03:45:11,96,98
2025-07-04 03:45:19,54,99
2025-07-04 03:45:27,86,97
2025-07-04 03:45:35,121,97
2025-07-04 03:45:43,69,96
2025-07-04 03:45:51,78,98
2025-07-04 03:45:59,47,97
2025-07-04 03:46:07,95,98
2025-07-04 03:46:15,76,97
2025-07-04 03:46:23,42,99
2025-07-04 03:46:31,73,99
2025-07-04 03:46:39,69,97
2025-07-04 03:46:47,64,99
2025-07-04 03:46:55,57,97
2025-07-04 03:47:03,94,99
2025-07-04 03:47:11,77,96
2025-07-04 03:47:19,70,96
2025-07-04 03:47:27,64,96
2025-07-04 03:47:35,98,98
2025-07-04 03:47:43,89,98
2025-07-04 03:47:51,64,96
2025-07-04 03:47:59,67,98
2025-07-04 03:48:07,63,99
2025-07-04 03:48:15,74,97
2025-07-04 03:48:23,93,97
2025-07-04 03:48:31,99,97
2025-07-04 03:48:39,75,96
2025-07-04 03:48:47,92,98
2025-07-04 03:48:55,81,99
2025-07-04 03:49:03,89,99
2025-07-04 03:49:11,77,96
2025-07-04 03:49:19,96,99
2025-07-04 03:49:27,91,99
2025-07-04 03:49:35,44,99
2025-07-04 03:49:43,92,99
2025-07-04 03:49:51,90,98
2025-07-04 03:49:59,64,99
2025-07-04 03:50:07,67,97
2025-07-04 03:50:15,85,96
2025-07-04 03:50:23,98,98
2025-07-04 03:50:31,73,99
2025-07-04 03:50:39,86,98
2025-07-04 03:50:47,63,99
2025-07-04 03:50:55,88,97
2025-07-04 03:51:03,117,96
2025-07-04 03:51:11,126,99
2025-07-04 03:51:19,69,99
2025-07-04 03:51:27,75,99
2025-07-04 03:51:35,88,99
2025-07-04 03:51:43,46,96
2025-07-04 03:51:51,73,96
2025-07-04 03:51:59,88,97
2025-07-04 03:52:07,81,96
2025-07-04 03:52:15,53,99
2025-07-04 03:52:23,60,97
2025-07-04 03:52:31,71,97
2025-07-04 03:52:39,68,97
2025-07-04 03:52:47,70,99
2025-07-04 03:52:55,111,98
2025-07-04 03:53:03,94,99
2025-07-04 03:53:11,90,96
2025-07-04 03:53:19,65,96
2025-07-04 03:53:27,80,99
2025-07-04 03:53:35,89,99
2025-07-04 03:53:43,71,97
2025-07-04 03:53:51,86,99
2025-07-04 03:53:59,68,97
2025-07-04 03:54:07,69,96
2025-07-04 03:54:15,99,97
2025-07-04 03:54:23,93,99
2025-07-04 03:54:31,85,96
2025-07-04 03:54:39,82,98
2025-07-04 03:54:47,83,97
2025-07-04 03:54:55,43,96
2025-07-04 03:55:03,96,97
2025-07-04 03:55:11,96,96
2025-07-04 03:55:19,62,96
2025-07-04 03:55:27,74,97
2025-07-04 03:55:35,89,98
2025-07-04 03:55:43,115,96
2025-07-04 03:55:51,66,96
2025-07-04 03:55:59,67,96
2025-07-04 03:56:07,85,98
2025-07-04 03:56:15,96,98
2025-07-04 03:56:23,94,99
2025-07-04 03:56:31,129,97
2025-07-04 03:56:39,84,98
2025-07-04 03:56:47,87,97
2025-07-04 03:56:55,88,99
2025-07-04 03:57:03,81,97
2025-07-04 03:57:11,96,98
2025-07-04 03:57:19,64,97
2025-07-04 03:57:27,92,98
2025-07-04 03:57:35,91,97
2025-07-04 03:57:43,80,98
2025-07-04 03:57:51,51,98
2025-07-04 03:57:59,75,97
2025-07-04 03:58:07,125,99
2025-07-04 03:58:15,60,96
2025-07-04 03:58:23,91,99
2025-07-04 03:58:31,93,97
2025-07-04 03:58:39,99,99
2025-07-04 03:58:47,70,98
2025-07-04 03:58:55,63,96
2025-07-04 03:59:03,111,97
2025-07-04 03:59:11,78,97
2025-07-04 03:59:19,67,97
2025-07-04 03:59:27,71,96
2025-07-04 03:59:35,88,98
2025-07-04 03:59:43,81,97
2025-07-04 03:59:51,72,99
2025-07-04 03:59:59,85,97
2025-07-04 04:00:07,73,97
2025-07-04 04:00:15,90,97
2025-07-04 04:00:23,114,97
2025-07-04 04:00:31,92,98
2025-07-04 04:00:39,113,99
2025-07-04 04:00:47,123,98
2025-07-04 04:00:55,127,99
2025-07-04 04:01:03,62,97
2025-07-04 04:01:11,49,96
2025-07-04 04:01:19,67,98
2025-07-04 04:01:27,74,96
2025-07-04 04:01:35,118,98
2025-07-04 04:01:43,92,97
2025-07-04 04:01:51,125,98
2025-07-04 04:01:59,67,97
2025-07-04 04:02:07,93,98
2025-07-04 04:02:15,66,97
2025-07-04 04:02:23,79,97
2025-07-04 04:02:31,59,99
2025-07-04 04:02:39,71,97
2025-07-04 04:02:47,74,99
2025-07-04 04:02:55,95,97
2025-07-04 04:03:03,95,96
2025-07-04 04:03:11,63,97
2025-07-04 04:03:19,93,96
2025-07-04 04:03:27,89,96
2025-07-04 04:03:35,51,97
2025-07-04 04:03:43,62,96
2025-07-04 04:03:51,98,99
2025-07-04 04:03:59,40,98
2025-07-04 04:04:07,92,97
2025-07-04 04:04:15,94,96
2025-07-04 04:04:23,92,97
2025-07-04 04:04:31,85,99
2025-07-04 04:04:39,78,97
2025-07-04 04:04:47,72,97
2025-07-04 04:04:55,90,96
2025-07-04 04:05:03,64,99
2025-07-04 04:05:11,62,98
2025-07-04 04:05:19,88,98
2025-07-04 04:05:27,61,96
2025-07-04 04:05:35,69,97
2025-07-04 04:05:43,47,96
2025-07-04 04:05:51,96,96
2025-07-04 04:05:59,92,96
2025-07-04 04:06:07,72,97
2025-07-04 04:06:15,87,99
2025-07-04 04:06:23,87,96
2025-07-04 04:06:31,69,97
2025-07-04 04:06:39,87,99
2025-07-04 04:06:47,54,96
2025-07-04 04:06:55,64,98
2025-07-04 04:07:03,83,99
2025-07-04 04:07:11,82,96
2025-07-04 04:07:19,61,99
2025-07-04 04:07:27,90,99
2025-07-04 04:07:35,127,99
2025-07-04 04:07:43,50,99
2025-07-04 04:07:51,83,99
2025-07-04 04:07:59,64,99
2025-07-04 04:08:07,75,96
2025-07-04 04:08:15,82,98
2025-07-04 04:08:23,88,97
2025-07-04 04:08:31,70,99
2025-07-04 04:08:39,79,97
2025-07-04 04:08:47,97,96
2025-07-04 04:08:55,75,99
2025-07-04 04:09:03,79,98
2025-07-04 04:09:11,54,97
2025-07-04 04:09:19,115,99
2025-07-04 04:09:27,85,96
2025-07-04 04:09:35,118,98
2025-07-04 04:09:43,57,97
2025-07-04 04:09:51,112,97
2025-07-04 04:09:59,72,99
2025-07-04 04:10:07,82,98
2025-07-04 04:10:15,84,98
2025-07-04 04:10:23,68,98
2025-07-04 04:10:31,46,98
2025-07-04 04:10:39,75,96
2025-07-04 04:10:47,84,98
2025-07-04 04:10:55,52,97
2025-07-04 04:11:03,81,97
2025-07-04 04:11:11,90,96
2025-07-04 04:11:19,62,97
2025-07-04 04:11:27,81,97
2025-07-04 04:11:35,91,98
2025-07-04 04:11:43,65,97
2025-07-04 04:11:51,65,96
2025-07-04 04:11:59,60,98
2025-07-04 04:12:07,87,99
2025-07-04 04:12:15,92,98
2025-07-04 04:12:23,45,96
2025-07-04 04:12:31,64,98
2025-07-04 04:12:39,69,98
2025-07-04 04:12:47,71,96
2025-07-04 04:12:55,75,98
2025-07-04 04:13:03,63,96
2025-07-04 04:13:11,65,96
2025-07-04 04:13:19,71,99
2025-07-04 04:13:27,79,97
2025-07-04 04:13:35,86,97
2025-07-04 04:13:43,49,98
2025-07-04 04:13:51,76,98
2025-07-04 04:13:59,84,99
2025-07-04 04:14:07,87,99
2025-07-04 04:14:15,74,99
2025-07-04 04:14:23,96,96
2025-07-04 04:14:31,93,99
2025-07-04 04:14:39,67,99
2025-07-04 04:14:47,95,98
2025-07-04 04:14:55,78,99
2025-07-04 04:15:03,98,96
2025-07-04 04:15:11,83,96
2025-07-04 04:15:19,61,98
2025-07-04 04:15:27,63,99
2025-07-04 04:15:35,127,99
2025-07-04 04:15:43,88,96
2025-07-04 04:15:51,71,99
2025-07-04 04:15:59,92,99
2025-07-04 04:16:07,69,99
2025-07-04 04:16:15,99,97
2025-07-04 04:16:23,76,98
2025-07-04 04:16:31,60,97
2025-07-04 04:16:39,95,98
2025-07-04 04:16:47,84,96
2025-07-04 04:16:55,71,99
2025-07-04 04:17:03,51,98
2025-07-04 04:17:11,51,97
2025-07-04 04:17:19,82,99
2025-07-04 04:17:27,40,96
2025-07-04 04:17:35,99,98
2025-07-04 04:17:43,120,98
2025-07-04 04:17:51,46,98
2025-07-04 04:17:59,92,99
2025-07-04 04:18:07,71,97
2025-07-04 04:18:15,83,97
2025-07-04 04:18:23,99,98
2025-07-04 04:18:31,99,96
2025-07-04 04:18:39,83,96
2025-07-04 04:18:47,78,97
2025-07-04 04:18:55,115,96
2025-07-04 04:19:03,70,97
2025-07-04 04:19:11,95,98
2025-07-04 04:19:19,88,97
2025-07-04 04:19:27,82,97
2025-07-04 04:19:35,87,98
2025-07-04 04:19:43,76,96
2025-07-04 04:19:51,68,97
2025-07-04 04:19:59,74,97
2025-07-04 04:20:07,55,98
2025-07-04 04:20:15,129,96
2025-07-04 04:20:23,96,97
2025-07-04 04:20:31,99,98
2025-07-04 04:20:39,97,97
2025-07-04 04:20:47,61,99
2025-07-04 04:20:55,78,98
2025-07-04 04:21:03,89,96
2025-07-04 04:21:11,114,96
2025-07-04 04:21:19,91,96
2025-07-04 04:21:27,95,96
2025-07-04 04:21:35,61,97
2025-07-04 04:21:43,78,97
2025-07-04 04:21:51,91,96
2025-07-04 04:21:59,117,96
2025-07-04 04:22:07,99,96
2025-07-04 04:22:15,87,97
2025-07-04 04:22:23,65,96
2025-07-04 04:22:31,66,96
2025-07-04 04:22:39,49,99
2025-07-04 04:22:47,87,99
2025-07-04 04:22:55,65,96
2025-07-04 04:23:03,87,98
2025-07-04 04:23:11,80,96
2025-07-04 04:23:19,54,99
2025-07-04 04:23:27,79,98
2025-07-04 04:23:35,69,98
2025-07-04 04:23:43,85,96
2025-07-04 04:23:51,74,99
2025-07-04 04:23:59,127,99
2025-07-04 04:24:07,79,98
2025-07-04 04:24:15,78,96
2025-07-04 04:24:23,84,97
2025-07-04 04:24:31,60,97
2025-07-04 04:24:39,78,99
2025-07-04 04:24:47,70,97
2025-07-04 04:24:55,88,99
2025-07-04 04:25:03,99,99
2025-07-04 04:25:11,99,99
2025-07-04 04:25:19,73,97
2025-07-04 04:25:27,125,99
2025-07-04 04:25:35,42,98
2025-07-04 04:25:43,41,96
2025-07-04 04:25:51,89,96
2025-07-04 04:25:59,65,99
2025-07-04 04:26:07,90,96
2025-07-04 04:26:15,67,97
2025-07-04 04:26:23,77,97
2025-07-04 04:26:31,46,96
2025-07-04 04:26:39,84,97
2025-07-04 04:26:47,81,96
2025-07-04 04:26:55,97,96
2025-07-04 04:27:03,82,96
2025-07-04 04:27:11,79,99
2025-07-04 04:27:19,97,96
2025-07-04 04:27:27,74,99
2025-07-04 04:27:35,67,96
2025-07-04 04:27:43,92,96
2025-07-04 04:27:51,90,96
2025-07-04 04:27:59,89,97
2025-07-04 04:28:07,76,99
2025-07-04 04:28:15,46,99
2025-07-04 04:28:23,112,96
2025-07-04 04:28:31,70,96
2025-07-04 04:28:39,71,97
2025-07-04 04:28:47,113,97
2025-07-04 04:28:55,81,97
2025-07-04 04:29:03,80,99
2025-07-04 04:29:11,91,99
2025-07-04 04:29:19,69,99
2025-07-04 04:29:27,76,96
2025-07-04 04:29:35,48,99
2025-07-04 04:29:43,62,98
2025-07-04 04:29:51,65,98
2025-07-04 04:29:59,79,97
2025-07-04 04:30:07,90,99
2025-07-04 04:30:15,97,98
2025-07-04 04:30:23,67,97
2025-07-04 04:30:31,98,99
2025-07-04 04:30:39,72,96
2025-07-04 04:30:47,74,98
2025-07-04 04:30:55,74,96
2025-07-04 04:31:03,91,99
2025-07-04 04:31:11,64,98
2025-07-04 04:31:19,62,99
2025-07-04 04:31:27,82,96
2025-07-04 04:31:35,91,98
2025-07-04 04:31:43,62,96
2025-07-04 04:31:51,72,99
2025-07-04 04:31:59,57,99
2025-07-04 04:32:07,83,96
2025-07-04 04:32:15,116,98
2025-07-04 04:32:23,69,96
2025-07-04 04:32:31,96,99
2025-07-04 04:32:39,48,96
2025-07-04 04:32:47,115,99
2025-07-04 04:32:55,72,96
2025-07-04 04:33:03,96,98
2025-07-04 04:33:11,73,98
2025-07-04 04:33:19,69,96
2025-07-04 04:33:27,59,96
2025-07-04 04:33:35,91,98
2025-07-04 04:33:43,86,99
2025-07-04 04:33:51,76,98
2025-07-04 04:33:59,81,99
2025-07-04 04:34:07,129,96
2025-07-04 04:34:15,87,96
2025-07-04 04:34:23,73,99
2025-07-04 04:34:31,80,96
2025-07-04 04:34:39,96,99
2025-07-04 04:34:47,61,97
2025-07-04 04:34:55,86,98
2025-07-04 04:35:03,68,97
2025-07-04 04:35:11,117,99
2025-07-04 04:35:19,81,98
2025-07-04 04:35:27,61,99
2025-07-04 04:35:35,113,98
2025-07-04 04:35:43,87,98
2025-07-04 04:35:51,92,98
2025-07-04 04:35:59,96,98
2025-07-04 04:36:07,71,99
2025-07-04 04:36:15,56,98
2025-07-04 04:36:23,55,98
2025-07-04 04:36:31,87,97
2025-07-04 04:36:39,74,96
2025-07-04 04:36:47,80,96
2025-07-04 04:36:55,64,97
2025-07-04 04:37:03,81,97
2025-07-04 04:37:11,63,99
2025-07-04 04:37:19,96,99
2025-07-04 04:37:27,72,99
2025-07-04 04:37:35,115,97
2025-07-04 04:37:43,70,97
2025-07-04 04:37:51,84,98
2025-07-04 04:37:59,99,99
2025-07-04 04:38:07,94,99
2025-07-04 04:38:15,84,99
2025-07-04 04:38:23,96,96
2025-07-04 04:38:31,95,98
2025-07-04 04:38:39,64,99
2025-07-04 04:38:47,77,99
2025-07-04 04:38:55,85,99
2025-07-04 04:39:03,98,96
2025-07-04 04:39:11,53,96
2025-07-04 04:39:19,82,97
2025-07-04 04:39:27,89,98
2025-07-04 04:39:35,61,97
2025-07-04 04:39:43,79,98
2025-07-04 04:39:51,65,96
2025-07-04 04:39:59,97,99
2025-07-04 04:40:07,81,97
2025-07-04 04:40:15,85,99
2025-07-04 04:40:23,117,97
2025-07-04 04:40:31,65,96
2025-07-04 04:40:39,95,96
2025-07-04 04:40:47,85,96
2025-07-04 04:40:55,61,97
2025-07-04 04:41:03,77,98
2025-07-04 04:41:11,65,97
2025-07-04 04:41:19,71,98
2025-07-04 04:41:27,85,97
2025-07-04 04:41:35,111,97
2025-07-04 04:41:43,86,96
2025-07-04 04:41:51,54,99
2025-07-04 04:41:59,67,99
2025-07-04 04:42:07,85,98
2025-07-04 04:42:15,67,99
2025-07-04 04:42:23,90,97
2025-07-04 04:42:31,93,97
2025-07-04 04:42:39,75,96
2025-07-04 04:42:47,64,96
2025-07-04 04:42:55,69,99
2025-07-04 04:43:03,64,98
2025-07-04 04:43:11,95,99
2025-07-04 04:43:19,69,99
2025-07-04 04:43:27,97,99
2025-07-04 04:43:35,85,99
2025-07-04 04:43:43,67,97
2025-07-04 04:43:51,64,98
2025-07-04 04:43:59,83,97
2025-07-04 04:44:07,63,98
2025-07-04 04:44:15,63,96
2025-07-04 04:44:23,79,99
2025-07-04 04:44:31,86,97
2025-07-04 04:44:39,60,98
2025-07-04 04:44:47,115,96
2025-07-04 04:44:55,88,96
2025-07-04 04:45:03,73,99
2025-07-04 04:45:11,85,98
2025-07-04 04:45:19,99,97
2025-07-04 04:45:27,95,99
2025-07-04 04:45:35,92,97
2025-07-04 04:45:43,67,96
2025-07-04 04:45:51,69,97
2025-07-04 04:45:59,77,97
2025-07-04 04:46:07,61,99
2025-07-04 04:46:15,98,97
2025-07-04 04:46:23,84,99
2025-07-04 04:46:31,80,96
2025-07-04 04:46:39,85,99
2025-07-04 04:46:47,116,99
2025-07-04 04:46:55,111,98
2025-07-04 04:47:03,78,97
2025-07-04 04:47:11,82,96
2025-07-04 04:47:19,119,99
2025-07-04 04:47:27,92,96
2025-07-04 04:47:35,129,98
2025-07-04 04:47:43,122,97
2025-07-04 04:47:51,70,99
2025-07-04 04:47:59,78,97
2025-07-04 04:48:07,85,98
2025-07-04 04:48:15,71,98
2025-07-04 04:48:23,78,96
2025-07-04 04:48:31,69,99
2025-07-04 04:48:39,81,96
2025-07-04 04:48:47,75,98
2025-07-04 04:48:55,92,97
2025-07-04 04:49:03,96,96
2025-07-04 04:49:11,91,96
2025-07-04 04:49:19,80,97
2025-07-04 04:49:27,96,96
2025-07-04 04:49:35,99,97
2025-07-04 04:49:43,81,99
2025-07-04 04:49:51,99,97
2025-07-04 04:49:59,80,99
2025-07-04 04:50:07,42,97
2025-07-04 04:50:15,76,98
2025-07-04 04:50:23,41,98
2025-07-04 04:50:31,93,99
2025-07-04 04:50:39,53,99
2025-07-04 04:50:47,98,98
2025-07-04 04:50:55,94,99
2025-07-04 04:51:03,82,97
2025-07-04 04:51:11,93,97
2025-07-04 04:51:19,76,98
2025-07-04 04:51:27,44,96
2025-07-04 04:51:35,72,97
2025-07-04 04:51:43,82,99
2025-07-04 04:51:51,117,96
2025-07-04 04:51:59,62,96
2025-07-04 04:52:07,90,97
2025-07-04 04:52:15,47,97
2025-07-04 04:52:23,89,96
2025-07-04 04:52:31,92,96
2025-07-04 04:52:39,71,98
2025-07-04 04:52:47,76,99
2025-07-04 04:52:55,69,98
2025-07-04 04:53:03,42,97
2025-07-04 04:53:11,98,98
2025-07-04 04:53:19,62,98
2025-07-04 04:53:27,68,98
2025-07-04 04:53:35,60,98
2025-07-04 04:53:43,47,99
2025-07-04 04:53:51,70,99
2025-07-04 04:53:59,94,96
2025-07-04 04:54:07,81,97
2025-07-04 04:54:15,122,98
2025-07-04 04:54:23,71,96
2025-07-04 04:54:31,85,96
2025-07-04 04:54:39,111,96
2025-07-04 04:54:47,125,99
2025-07-04 04:54:55,73,98
2025-07-04 04:55:03,73,98
2025-07-04 04:55:11,117,97
2025-07-04 04:55:19,41,98
2025-07-04 04:55:27,99,98
2025-07-04 04:55:35,80,96
2025-07-04 04:55:43,84,97
2025-07-04 04:55:51,43,98
2025-07-04 04:55:59,64,99
2025-07-04 04:56:07,73,98
2025-07-04 04:56:15,65,96
2025-07-04 04:56:23,77,99
2025-07-04 04:56:31,62,96
2025-07-04 04:56:39,48,98
2025-07-04 04:56:47,85,99
2025-07-04 04:56:55,95,97
2025-07-04 04:57:03,122,97
2025-07-04 04:57:11,83,99
2025-07-04 04:57:19,66,99
2025-07-04 04:57:27,91,96
2025-07-04 04:57:35,68,99
2025-07-04 04:57:43,73,96
2025-07-04 04:57:51,60,98
2025-07-04 04:57:59,82,96
2025-07-04 04:58:07,61,99
2025-07-04 04:58:15,72,99
2025-07-04 04:58:23,91,98
2025-07-04 04:58:31,85,99
2025-07-04 04:58:39,52,99
2025-07-04 04:58:47,64,97
2025-07-04 04:58:55,77,97
2025-07-04 04:59:03,60,98
2025-07-04 04:59:11,73,96
2025-07-04 04:59:19,40,97
2025-07-04 04:59:27,98,96
2025-07-04 04:59:35,92,99
2025-07-04 04:59:43,81,97
2025-07-04 04:59:51,111,98
2025-07-04 04:59:59,66,98
2025-07-04 05:00:07,89,98
2025-07-04 05:00:15,72,97
2025-07-04 05:00:23,47,96
2025-07-04 05:00:31,62,99
2025-07-04 05:00:39,119,96
2025-07-04 05:00:47,98,96
2025-07-04 05:00:55,92,99
2025-07-04 05:01:03,62,99
2025-07-04 05:01:11,79,97
2025-07-04 05:01:19,75,97
2025-07-04 05:01:27,60,97
2025-07-04 05:01:35,123,97
2025-07-04 05:01:43,75,97
2025-07-04 05:01:51,70,99
2025-07-04 05:01:59,96,96
2025-07-04 05:02:07,75,97
2025-07-04 05:02:15,99,97
2025-07-04 05:02:23,90,96
2025-07-04 05:02:31,76,97
2025-07-04 05:02:39,94,96
2025-07-04 05:02:47,73,96
2025-07-04 05:02:55,89,99
2025-07-04 05:03:03,70,98
2025-07-04 05:03:11,112,99
2025-07-04 05:03:19,85,98
2025-07-04 05:03:27,60,98
2025-07-04 05:03:35,92,98
2025-07-04 05:03:43,59,97
2025-07-04 05:03:51,63,99
2025-07-04 05:03:59,90,98
2025-07-04 05:04:07,72,96
2025-07-04 05:04:15,87,97
2025-07-04 05:04:23,96,99
2025-07-04 05:04:31,120,98
2025-07-04 05:04:39,74,96
2025-07-04 05:04:47,40,99
2025-07-04 05:04:55,57,99
2025-07-04 05:05:03,54,97
2025-07-04 05:05:11,85,99
2025-07-04 05:05:19,46,97
2025-07-04 05:05:27,97,98
2025-07-04 05:05:35,117,97
2025-07-04 05:05:43,81,96
2025-07-04 05:05:51,61,97
2025-07-04 05:05:59,60,96
2025-07-04 05:06:07,124,97
2025-07-04 05:06:15,44,99
2025-07-04 05:06:23,93,98
2025-07-04 05:06:31,70,96
2025-07-04 05:06:39,50,97
2025-07-04 05:06:47,82,97
2025-07-04 05:06:55,94,97
2025-07-04 05:07:03,89,99
2025-07-04 05:07:11,97,99
2025-07-04 05:07:19,77,96
2025-07-04 05:07:27,82,96
2025-07-04 05:07:35,94,99
2025-07-04 05:07:43,94,96
2025-07-04 05:07:51,97,98
2025-07-04 05:07:59,78,98
2025-07-04 05:08:07,66,99
2025-07-04 05:08:15,89,96
2025-07-04 05:08:23,119,97
2025-07-04 05:08:31,87,98
2025-07-04 05:08:39,90,99
2025-07-04 05:08:47,121,96
2025-07-04 05:08:55,71,99
